svc_usage_tol,system_workload_tol,ltcy
-5.248,-1.473,0.812
-4.631,-1.37,0.877
-4.733,-1.378,0.877
-4.29,-0.552,0.49
-3.804,-0.612,0.49
-4.238,-0.605,0.49
-4.201,-1.109,0.812
-5.309,-0.822,0.825
-4.168,-0.742,0.5
-3.383,-0.137,0.5
-5.021,-1.647,1.1
-4.121,-1.831,1.118
-4.902,-0.327,0.949
-4.632,-0.315,0.6
-4.811,0.019,0.5
-2.884,-0.35,0.48
-4.921,-0.491,0.48
-4.613,-0.212,0.5
-4.453,0.749,0.5
-1.842,-0.424,0.608
-1.797,-0.229,0.812
-2.867,-0.758,0.812
-3.219,-1.687,0.574
-3.061,-0.84,0.5
-1.673,-0.175,0.5
-3.03,-0.237,0.5
-2.627,-0.54,0.5
-2.993,-0.187,0.49
-2.418,-0.123,0.794
-3.539,-0.347,0.8
-2.221,-0.472,0.663
-2.509,0.347,0.49
-2.988,0.199,0.49
-2.618,-0.433,0.52
-1.707,0.006,0.5
-1.154,1.027,0.5
-1.632,-0.23,0.49
-2.494,-0.605,0.49
-2.259,-0.039,0.5
-3.965,-0.87,0.5
-4.087,-0.584,0.574
-3.288,0.613,0.574
-1.495,-1.139,0.48
-3.576,1.262,0.48
-1.797,0.782,0.49
-1.868,0.361,0.574
-2.106,0.242,0.849
-1.733,0.336,0.837
-1.435,0.103,0.812
-1.93,-0.644,0.812
-2.014,0.479,0.49
-2.101,0.313,0.49
-0.845,0.412,0.49
-3.476,-0.42,0.49
-3.765,0.357,0.5
-2.9,0.163,0.539
-1.239,-0.174,0.5
-2.08,0.099,0.52
-1.242,-1.135,0.5
-3.047,-0.13,0.5
-2.997,-0.09,0.49
-1.619,-0.953,0.933
-3.539,0.518,0.866
-3.71,-0.107,0.735
-2.671,1.273,0.49
-0.84,0.384,0.49
0.413,1.022,0.49
0.164,1.036,0.5
-1.909,1.438,0.5
0.468,-0.326,0.49
-2.421,-0.869,0.49
-2.437,-0.254,0.49
-1.629,0.157,0.728
-3.003,0.798,0.728
-2.659,0.912,0.806
-0.847,1.802,0.693
-0.694,0.63,0.693
-1.693,0.983,0.889
-1.856,0.991,0.889
-0.701,-0.515,0.911
-1.109,0.002,0.742
-1.847,-0.68,0.6
0.444,0.658,0.6
-0.332,0.121,0.735
-2.812,-0.548,0.735
-1.6,-0.462,0.775
-2.074,-0.715,0.906
-2.754,-0.582,0.917
-1.341,2.034,0.933
-0.565,0.885,0.592
1.605,1.335,0.539
0.019,1.541,0.686
-1.516,0.391,0.671
-1.026,0.653,0.648
-0.825,0.732,0.86
0.063,1.798,0.86
-1.038,1.655,0.985
-0.758,1.496,0.812
-0.787,0.249,0.917
-0.098,0.43,0.927
-1.347,0.491,0.922
-0.856,1.257,0.922
-1.325,0.323,0.49
-1.394,1.791,0.686
0.365,1.241,0.686
0.832,1.548,0.775
0.016,2.319,0.51
-0.839,1.098,0.583
-0.414,1.492,0.548
-0.62,0.843,0.548
-1.227,-0.148,1.131
-2.194,0.655,1.131
-0.192,1.593,0.721
-1.53,1.807,0.86
-0.742,0.908,0.906
-0.863,0.786,0.825
0.722,1.563,0.894
0.068,1.305,0.894
-0.718,0.763,0.592
0.202,2.272,0.52
0.785,2.072,0.693
0.294,1.483,0.819
0.764,1.392,0.794
-0.269,2.621,0.781
-0.127,2.054,0.616
-0.852,2.599,0.964
-1.796,2.939,0.97
-0.486,2.523,0.889
0.876,2.326,0.707
-1.648,2.325,0.707
-0.735,1.419,0.825
0.284,1.35,0.86
-0.425,2.256,0.86
-0.667,3.123,0.781
-0.401,2.954,0.854
0.952,2.098,0.883
2.408,2.362,0.866
1.568,2.041,0.8
-0.915,1.398,0.787
-0.324,3.219,0.686
-0.155,3.351,0.819
1.442,2.017,0.849
2.147,2.192,0.768
0.496,0.509,0.7
-0.876,0.735,0.911
0.709,2.069,0.854
1.348,2.419,0.806
-0.306,1.971,0.624
0.603,2.122,0.624
1.192,1.566,0.787
-0.094,3.195,0.812
-0.709,2.273,0.721
1.279,1.672,0.721
-0.694,2.437,0.927
1.866,2.316,0.86
0.412,2.626,1.0
0.99,2.195,1.0
-0.602,2.091,0.748
0.873,2.341,0.574
0.618,1.074,0.5
0.286,1.58,0.49
0.071,2.467,0.49
1.615,2.266,0.831
