name,ztime,node,value
node_load1,2020-02-27 22:21:57,192.168.228.12,7.63
node_load1,2020-02-27 22:21:42,192.168.228.12,8.07
node_load1,2020-02-27 22:21:12,192.168.228.12,7.22
node_load1,2020-02-27 22:20:57,192.168.228.12,6.57
node_load1,2020-02-27 22:20:42,192.168.228.12,6.53
node_load1,2020-02-27 22:20:27,192.168.228.12,6.95
node_load1,2020-02-27 22:20:12,192.168.228.12,7.78
node_load1,2020-02-27 22:19:57,192.168.228.12,8.42
node_load1,2020-02-27 22:19:42,192.168.228.12,8.42
node_load1,2020-02-27 22:19:27,192.168.228.12,9.14
node_load1,2020-02-27 22:19:12,192.168.228.12,9.6
node_load1,2020-02-27 22:18:57,192.168.228.12,9.26
node_load1,2020-02-27 22:18:42,192.168.228.12,9.13
node_load1,2020-02-27 22:18:27,192.168.228.12,8.86
node_load1,2020-02-27 22:18:12,192.168.228.12,8.77
node_load1,2020-02-27 22:17:57,192.168.228.12,7.97
node_load1,2020-02-27 22:17:42,192.168.228.12,7.77
node_load1,2020-02-27 22:17:27,192.168.228.12,7.04
node_load1,2020-02-27 22:17:12,192.168.228.12,6.47
node_load1,2020-02-27 22:16:42,192.168.228.12,7.34
node_load1,2020-02-27 22:16:27,192.168.228.12,6.97
node_load1,2020-02-27 22:16:12,192.168.228.12,7.7
node_load1,2020-02-27 22:15:42,192.168.228.12,7.07
node_load1,2020-02-27 22:15:27,192.168.228.12,6.08
node_load1,2020-02-27 22:15:12,192.168.228.12,6.74
node_load1,2020-02-27 22:14:57,192.168.228.12,6.86
node_load1,2020-02-27 22:14:42,192.168.228.12,7.22
node_load1,2020-02-27 22:14:27,192.168.228.12,6.97
node_load1,2020-02-27 22:14:12,192.168.228.12,6.89
node_load1,2020-02-27 22:13:57,192.168.228.12,5.85
node_load1,2020-02-27 22:13:27,192.168.228.12,5.37
node_load1,2020-02-27 22:13:12,192.168.228.12,5.29
node_load1,2020-02-27 22:12:57,192.168.228.12,6.23
node_load1,2020-02-27 22:12:42,192.168.228.12,6.31
node_load1,2020-02-27 22:12:27,192.168.228.12,6.08
node_load1,2020-02-27 22:12:12,192.168.228.12,6.76
node_load1,2020-02-27 22:11:57,192.168.228.12,8.11
node_load1,2020-02-27 22:11:42,192.168.228.12,7.09
node_load1,2020-02-27 22:11:12,192.168.228.12,6.94
node_load1,2020-02-27 22:10:57,192.168.228.12,7.4
node_load1,2020-02-27 22:10:42,192.168.228.12,6.68
node_load1,2020-02-27 22:10:27,192.168.228.12,6.35
node_load1,2020-02-27 22:10:12,192.168.228.12,6.99
node_load1,2020-02-27 22:09:57,192.168.228.12,8.31
node_load1,2020-02-27 22:09:42,192.168.228.12,8.33
node_load1,2020-02-27 22:09:12,192.168.228.12,7.54
node_load1,2020-02-27 22:08:57,192.168.228.12,8.13
node_load1,2020-02-27 22:08:42,192.168.228.12,6.25
node_load1,2020-02-27 22:08:27,192.168.228.12,5.84
node_load1,2020-02-27 22:08:12,192.168.228.12,4.74
node_load1,2020-02-27 22:07:57,192.168.228.12,4.97
node_load1,2020-02-27 22:07:42,192.168.228.12,5.08
node_load1,2020-02-27 22:07:27,192.168.228.12,6.01
node_load1,2020-02-27 22:07:12,192.168.228.12,6.18
node_load1,2020-02-27 22:06:57,192.168.228.12,7.86
node_load1,2020-02-27 22:06:42,192.168.228.12,8.19
node_load1,2020-02-27 22:06:27,192.168.228.12,5.29
node_load1,2020-02-27 22:06:12,192.168.228.12,4.43
node_load1,2020-02-27 22:05:57,192.168.228.12,5.43
node_load1,2020-02-27 22:05:42,192.168.228.12,6.35
node_load1,2020-02-27 22:05:27,192.168.228.12,6.32
node_load1,2020-02-27 22:05:12,192.168.228.12,6.22
node_load1,2020-02-27 22:04:42,192.168.228.12,6.55
node_load1,2020-02-27 22:04:27,192.168.228.12,6.66
node_load1,2020-02-27 22:04:12,192.168.228.12,5.72
node_load1,2020-02-27 22:03:42,192.168.228.12,4.46
node_load1,2020-02-27 22:03:27,192.168.228.12,4.56
node_load1,2020-02-27 22:03:12,192.168.228.12,4.67
node_load1,2020-02-27 22:02:57,192.168.228.12,4.74
node_load1,2020-02-27 22:02:42,192.168.228.12,4.43
node_load1,2020-02-27 22:02:27,192.168.228.12,4.78
node_load1,2020-02-27 22:01:42,192.168.228.12,5.84
node_load1,2020-02-27 22:00:42,192.168.228.12,4.56
node_load1,2020-02-27 22:00:27,192.168.228.12,3.37
node_load1,2020-02-27 22:00:12,192.168.228.12,4.24
node_load1,2020-02-27 21:59:57,192.168.228.12,4.41
node_load1,2020-02-27 21:59:27,192.168.228.12,5.79
node_load1,2020-02-27 21:59:12,192.168.228.12,6.35
node_load1,2020-02-27 21:58:57,192.168.228.12,6.89
node_load1,2020-02-27 21:58:27,192.168.228.12,7.01
node_load1,2020-02-27 21:58:12,192.168.228.12,7.6
node_load1,2020-02-27 21:57:57,192.168.228.12,6.83
node_load1,2020-02-27 21:57:42,192.168.228.12,6.57
node_load1,2020-02-27 21:57:27,192.168.228.12,5.55
node_load1,2020-02-27 21:57:12,192.168.228.12,6.5
node_load1,2020-02-27 21:56:57,192.168.228.12,7.17
node_load1,2020-02-27 21:56:42,192.168.228.12,8.49
node_load1,2020-02-27 21:56:12,192.168.228.12,7.53
node_load1,2020-02-27 21:55:42,192.168.228.12,8.89
node_load1,2020-02-27 21:55:27,192.168.228.12,8.46
node_load1,2020-02-27 21:55:12,192.168.228.12,7.88
node_load1,2020-02-27 21:54:57,192.168.228.12,8.36
node_load1,2020-02-27 21:54:42,192.168.228.12,7.78
node_load1,2020-02-27 21:54:27,192.168.228.12,7.68
node_load1,2020-02-27 21:53:57,192.168.228.12,6.44
node_load1,2020-02-27 21:53:42,192.168.228.12,4.41
node_load1,2020-02-27 21:53:27,192.168.228.12,4.53
node_load1,2020-02-27 21:53:12,192.168.228.12,3.6
node_load1,2020-02-27 21:52:57,192.168.228.12,3.17
node_load1,2020-02-27 21:52:42,192.168.228.12,2.34
node_load1,2020-02-27 21:52:27,192.168.228.12,1.42
node_load1,2020-02-27 21:52:12,192.168.228.12,1.31
node_load1,2020-02-27 21:51:57,192.168.228.12,1.17
node_load1,2020-02-27 21:51:42,192.168.228.12,1.31
node_load1,2020-02-27 21:51:27,192.168.228.12,1.01
node_load1,2020-02-27 21:51:12,192.168.228.12,0.85
node_load1,2020-02-27 21:50:57,192.168.228.12,0.99
node_load1,2020-02-27 21:50:42,192.168.228.12,1.27
node_load1,2020-02-27 21:50:27,192.168.228.12,0.79
node_load1,2020-02-27 21:50:12,192.168.228.12,1.01
node_load1,2020-02-27 21:49:57,192.168.228.12,0.8
node_load1,2020-02-27 21:49:42,192.168.228.12,1.03
node_load1,2020-02-27 21:49:27,192.168.228.12,1.32
